station,name,date,prcp,tavg,tmax,tmin
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-06-06,0.0,78.0,86,70
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-06-07,0.57,75.0,82,68
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-06-08,0.0,70.5,76,65
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-06-09,0.07,64.5,67,62
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-06-10,0.32,71.5,79,64
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-06-11,0.0,75.5,86,65
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-06-12,0.0,80.5,92,69
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-06-13,0.0,75.0,81,69
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-06-14,0.31,66.0,71,61
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-06-15,0.19,61.5,64,59
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-06-16,0.13,66.0,70,62
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-06-17,0.06,67.0,71,63
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-06-18,0.02,76.0,86,66
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-06-19,0.46,82.0,93,71
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-06-20,0.0,77.5,87,68
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-06-21,0.0,82.5,92,73
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-06-22,0.06,83.0,92,74
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-06-23,0.0,91.0,101,81
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-06-24,0.0,92.5,103,82
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-06-25,0.0,93.0,101,85
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-06-26,0.02,77.5,86,69
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-06-27,0.0,69.0,72,66
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-06-28,0.05,76.5,89,64
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-06-29,0.0,86.0,95,77
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-06-30,0.03,82.5,93,72
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-07-01,0.4,85.0,95,75
