"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-05-30","0.02",,"78","62"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-05-31","0.44",,"73","54"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-06-01","0.00",,"70","50"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-06-02","0.00",,"75","50"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-06-03","0.00",,"81","56"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-06-04","0.00",,"86","60"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-06-05","0.00",,"90","68"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-06-06","0.00",,"86","70"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-06-07","0.57",,"82","68"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-06-08","0.00",,"76","65"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-06-09","0.07",,"67","62"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-06-10","0.32",,"79","64"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-06-11","0.00",,"86","65"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-06-12","0.00",,"92","69"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-06-13","0.00",,"81","69"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-06-14","0.31",,"71","61"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-06-15","0.19",,"64","59"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-06-16","0.13",,"70","62"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-06-17","0.06",,"71","63"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-06-18","0.02",,"86","66"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-06-19","0.46",,"93","71"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-06-20","0.00",,"87","68"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-06-21","0.00",,"92","73"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-06-22","0.06",,"92","74"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-06-23","0.00",,"101","81"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-06-24","0.00",,"103","82"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-06-25","0.00",,"101","85"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-06-26","0.02",,"86","69"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-06-27","0.00",,"72","66"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-06-28","0.05",,"89","64"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-06-29","0.00",,"95","77"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-06-30","0.03",,"93","72"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-07-01","0.40",,"95","75"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-07-02","0.01",,"91","73"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-07-03","0.02",,"94","70"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-07-04","0.00",,"87","65"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-07-05","0.00",,"90","65"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-07-06","0.00",,"95","72"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-07-07","0.00",,"91","77"
